disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Addison's Disease,hyperpigmentation (bronze skin),vomiting,salt craving,abdominal pain,fatigue,weight loss,,
Diverticulitis,bloating,vomiting,left lower abdominal pain,rectal bleeding (complicated),,,,
Pelvic Inflammatory Disease,pain during intercourse,vomiting,vaginal discharge,fever,pelvic or lower abdominal pain,irregular menstrual bleeding,cervical motion tenderness,nausea
Dehydration,rapid heartbeat,dizziness,dry mouth,headache,,,,
Gestational Diabetes,diagnosed via glucose tolerance test in pregnancy,increased thirst,blurred vision,often asymptomatic,frequent urination,,,
Asthma,mucus production,shortness of breath,chronic cough,cough at night,exercise-induced breathlessness,difficulty breathing,,
Hepatitis C,loss of appetite,fatigue,fever,muscle aches,often asymptomatic initially,dark urine,jaundice,joint pain
Chickenpox,spots that become blisters then crust,headache,malaise,loss of appetite,itchy blister rash,,,
Anaemia,headache,cold hands and feet,shortness of breath,fatigue,dizziness,,,
Schizophrenia,cognitive impairment,disorganized thinking,social withdrawal,delusions,disorganized speech,,,
Heart Failure,rapid weight gain,reduced exercise tolerance,shortness of breath,persistent cough,fatigue,swollen ankles and legs,,
Rotator Cuff Injury,shoulder pain worsening with arm raising,clicking or popping in shoulder,reduced range of motion,difficulty reaching behind back,pain at night (lying on affected side),weakness in shoulder,,
Haemorrhoids,discomfort sitting,prolapse of haemorrhoid,leakage of faeces,swelling around anus,itching around anus,pain and discomfort,,
Chronic Kidney Disease,nausea,sleep problems,fatigue,itching,shortness of breath,,,
Sleep Apnea,difficulty concentrating,dry mouth on waking,morning headache,gasping during sleep,,,,
Malaria,chills,splenomegaly,headache,fatigue,sweating,jaundice,rigors,vomiting
Addison's Disease,fatigue,depression,muscle weakness,weight loss,vomiting,hyperpigmentation (bronze skin),nausea,
Alcohol Use Disorder,continued use despite consequences,morning drinking,blackouts,"withdrawal symptoms (tremor, sweating)",strong craving for alcohol,inability to limit drinking,,
Meningitis,nausea,vomiting,sensitivity to light,seizures,sensitivity to sound,,,
Autism Spectrum Disorder,restricted interests,repetitive behaviours,sensory sensitivities,difficulty with change in routine,,,,
Dengue Fever,severe headache,skin rash,loss of appetite,mild bleeding gums,muscle pain,high fever,vomiting,
HIV Infection,fatigue,swollen lymph nodes,night sweats,rash,sore throat,diarrhoea,,
Anaemia (Iron Deficiency),pallor,fast heartbeat,restless legs,cold hands and feet,fatigue and weakness,pica (craving non-food items),,
Addison's Disease,weight loss,nausea,muscle weakness,dizziness,low blood pressure,salt craving,vomiting,
Temporomandibular Joint Disorder,headache,pain in and around ear,aching facial pain,neck and shoulder pain,difficulty chewing,locking of jaw,jaw clicking or popping,jaw pain
Retinal Detachment,curtain shadow over vision,sudden blurred vision,loss of central vision (macula detachment),sudden flashes of light,,,,
Acromegaly,enlarged tongue,headache,enlarged hands and feet,sleep apnoea,facial feature changes (enlarged jaw/brow),excessive sweating,,
Ulcerative Colitis,abdominal cramping,weight loss,urgency to defecate,bloody diarrhoea,rectal bleeding,fever (in flares),,
Obsessive-Compulsive Disorder,hoarding,distress when rituals interrupted,repetitive behaviours (compulsions),symmetry concerns,excessive checking,fear of contamination,time-consuming rituals,
Cystic Fibrosis,fatty stools,clubbing of fingers,persistent cough with thick mucus,nasal polyps,breathlessness,digestive problems,poor growth,frequent lung infections
Migraine,sensitivity to sound,visual aura,nausea,sensitivity to light,throbbing headache (one side),blurred vision,fatigue after attack,
Conjunctivitis,increased sensitivity to light,watery eyes,red eyes,crusting of eyelids in morning,burning sensation,blurred vision,,
Huntington's Disease,balance difficulty,sleep disturbances,involuntary movements (chorea),personality changes,psychiatric symptoms,,,
Sciatica,pain worsening on sitting,numbness in leg or foot,pain from hip to calf or foot,weakness in leg,shooting pain from lower back down the leg,tingling in leg,pain along sciatic nerve path,
Hyperthyroidism,nervousness,fatigue,tremor,heat intolerance,weight loss,increased appetite,,
Heat Stroke,seizures,rapid breathing,nausea,loss of consciousness,confusion or altered consciousness,hot dry skin (no sweating),,
Prostate Cancer,pelvic discomfort,frequent urination (especially at night),weak urine stream,erectile dysfunction,difficulty urinating,often asymptomatic (early),,
Alcohol Use Disorder,strong craving for alcohol,inability to limit drinking,"withdrawal symptoms (tremor, sweating)",morning drinking,blackouts,,,
Atrial Fibrillation,fatigue,dizziness,fainting,anxiety,chest discomfort,shortness of breath,palpitations,
Chronic Obstructive Pulmonary Disease,frequent respiratory infections,chest tightness,increased mucus production,cyanosis (late),fatigue,,,
Carpal Tunnel Syndrome,tingling and numbness in thumb and fingers,weakness of grip,dropping objects,pain radiating up forearm,symptoms worse at night,,,
Kawasaki Disease,red cracked lips,strawberry tongue,rash on trunk,swollen hands and feet,red eyes (conjunctivitis),peeling skin on fingers,swollen lymph nodes in neck,
Huntington's Disease,psychiatric symptoms,personality changes,balance difficulty,cognitive decline,depression,swallowing difficulty,sleep disturbances,
Haemophilia A,internal bleeding,blood in urine,prolonged bleeding after surgery or dental work,spontaneous joint bleeds,bruising easily,excessive bleeding from minor cuts,joint pain and swelling,
Dengue Fever,high fever,low platelet count,joint pain,muscle pain,,,,
Malaria,sweating,cyclical high fever,chills,splenomegaly,jaundice,fatigue,vomiting,rigors
Fatty Liver Disease (NAFLD),enlarged liver,right upper abdominal discomfort,usually asymptomatic,elevated liver enzymes,elevated cholesterol,abdominal fullness,fatigue,
Fatty Liver Disease (NAFLD),enlarged liver,elevated liver enzymes,usually asymptomatic,fatigue,right upper abdominal discomfort,abdominal fullness,elevated cholesterol,
Gestational Diabetes,frequent urination,increased thirst,blurred vision,diagnosed via glucose tolerance test in pregnancy,,,,
Leukemia (Acute Lymphoblastic),fatigue,fever,night sweats,pallor,,,,
Conjunctivitis,watery eyes,itching eyes,crusting of eyelids in morning,increased sensitivity to light,discharge from eyes,red eyes,,
Lung Cancer,shortness of breath,recurrent pneumonia,fatigue,bone pain,loss of appetite,hoarseness,,
Vertigo (Benign Paroxysmal Positional),balance difficulty,nausea,vomiting,abnormal eye movements (nystagmus),,,,
Retinal Detachment,sudden flashes of light,loss of central vision (macula detachment),curtain shadow over vision,visual field loss,floaters,,,
Anaemia (Iron Deficiency),fatigue and weakness,cold hands and feet,pica (craving non-food items),restless legs,pallor,fast heartbeat,headache,
Autism Spectrum Disorder,avoidance of eye contact,restricted interests,sensory sensitivities,difficulty with social interaction,communication challenges,repetitive behaviours,,
Acute Respiratory Distress Syndrome,cyanosis,severe breathlessness,hypoxaemia despite oxygen,extreme fatigue,rapid breathing,confusion,bilateral lung infiltrates on X-ray,
Epilepsy,post-ictal confusion,recurring seizures,staring spell,uncontrolled jerking movements,automatic movements (lip smacking),,,
Portal Hypertension,jaundice,encephalopathy,ascites (fluid in abdomen),splenomegaly,oesophageal varices,dilated abdominal veins,bleeding from varices,anaemia
Deep Vein Thrombosis,visible surface veins,redness or discolouration,warm skin over affected area,leg cramps,swelling of one leg,pitting oedema,pain or tenderness in leg,
Conjunctivitis,red eyes,burning sensation,blurred vision,itching eyes,discharge from eyes,,,
Typhoid Fever,relative bradycardia,splenomegaly,headache,constipation or diarrhoea,cough,weakness,rose spots on trunk,
Bulimia Nervosa,electrolyte imbalances,purging (self-induced vomiting),swollen cheeks,calluses on knuckles,episodes of binge eating,,,
Peripheral Artery Disease,pain relieved by rest,leg pain when walking (claudication),shiny skin on leg,coldness in lower leg/foot,slow toenail growth,leg numbness or weakness,weak pulse in legs,
Myocardial Infarction,jaw pain,dizziness,palpitations,crushing chest pain,chest pain radiating to left arm,anxiety,nausea,sweating
Addison's Disease,vomiting,hyperpigmentation (bronze skin),dizziness,nausea,muscle weakness,fatigue,salt craving,abdominal pain
Systemic Lupus Erythematosus,chest pain (serositis),fatigue,fever,butterfly rash on face,photosensitivity,joint pain and swelling,kidney problems (proteinuria),
Polycystic Ovary Syndrome,difficulty getting pregnant,weight gain,thinning scalp hair,irregular periods,darkened skin patches,acne,excess body hair (hirsutism),ovarian cysts on ultrasound
Temporomandibular Joint Disorder,headache,pain in and around ear,difficulty chewing,locking of jaw,,,,
Systemic Lupus Erythematosus,anaemia,fever,joint pain and swelling,photosensitivity,kidney problems (proteinuria),chest pain (serositis),fatigue,hair loss
Obsessive-Compulsive Disorder,distress when rituals interrupted,recurrent unwanted thoughts (obsessions),time-consuming rituals,excessive checking,fear of contamination,,,
Cervical Cancer,bleeding after intercourse,abnormal vaginal bleeding,back or leg pain (advanced),pain during intercourse,pelvic pain,post-menopausal bleeding,watery foul-smelling vaginal discharge,
Nephrotic Syndrome,weight gain from fluid,high cholesterol,reduced urine output,foamy urine (proteinuria),loss of appetite,severe oedema (swelling),fatigue,
Scabies,"rash on wrists, elbows, armpits, genitals",crust formation (Norwegian scabies),pimple-like rash,burrow tracks in skin,intense itching (worse at night),sores from scratching,itching between fingers,
Thalassemia (Beta),fatigue,frequent infections,bone deformities,delayed puberty,enlarged liver and spleen,severe anaemia,,
Hearing Loss,muffled sounds,asking others to repeat,ringing in ears,turning up TV volume,tinnitus,trouble hearing high-pitched sounds,,
Rheumatoid Arthritis,nodules under skin,morning stiffness >1 hour,weight loss,fever,decreased joint function,anaemia,joint warmth and redness,
Asthma,chronic cough,chest tightness,difficulty breathing,exercise-induced breathlessness,cough at night,mucus production,shortness of breath,
Onychomycosis (Nail Fungus),distorted nail shape,nails separating from nail bed,foul odour,thickened nails,brittle or crumbly nails,white spots under nail,yellow-brown discolouration,
Celiac Disease,weight loss,fatigue,anaemia,depression,,,,
Atrial Fibrillation,reduced exercise tolerance,shortness of breath,anxiety,chest discomfort,irregular heartbeat,dizziness,,
Narcolepsy,sudden muscle weakness (cataplexy),difficulty concentrating,automatic behaviour,sleep paralysis,excessive daytime sleepiness,hypnagogic hallucinations,,
Hypo-thyroidism,cold intolerance,puffiness of face,hair thinning,weight gain,constipation,dry skin,fatigue,
Pneumonia,shortness of breath,chest pain on breathing,bluish lips,sweating,,,,
Anaphylaxis,itching,pale or flushed skin,skin rash/hives,loss of consciousness,drop in blood pressure,wheezing,rapid heartbeat,
Allergic Rhinitis,fatigue,loss of smell,sneezing,nasal congestion,watery eyes,itchy nose,post-nasal drip,
Ulcerative Colitis,fever (in flares),abdominal cramping,joint pain (extra-intestinal),weight loss,rectal bleeding,fatigue,rectal pain,
Generalized Anxiety Disorder,fatigue,muscle tension,excessive worry,restlessness,,,,
Hypothermia,shivering (mild),confusion,weak pulse,slow shallow breathing,slurred speech,loss of consciousness (severe),loss of coordination,
Gestational Diabetes,diagnosed via glucose tolerance test in pregnancy,often asymptomatic,frequent urination,fatigue,,,,
Kawasaki Disease,rash on trunk,swollen lymph nodes in neck,strawberry tongue,red cracked lips,,,,
Hepatitis C,muscle aches,often asymptomatic initially,fatigue,jaundice,,,,
Peptic Ulcer,nausea,vomiting,burning stomach pain,belching,,,,
Dengue Haemorrhagic Fever,abdominal pain,bleeding gums,vomiting,severe headache,high fever,,,
Hepatitis B,fever,nausea,joint pain,fatigue,abdominal pain,jaundice,dark urine,right upper quadrant discomfort
Syphilis,headache,muscle aches,swollen lymph nodes,sore throat,neurological symptoms (late),hair loss,fever,painless genital sore (chancre)
Syphilis,rash on palms and soles,hair loss,headache,swollen lymph nodes,painless genital sore (chancre),muscle aches,sore throat,fever
Conjunctivitis,red eyes,discharge from eyes,itching eyes,watery eyes,crusting of eyelids in morning,,,
Peripheral Artery Disease,leg numbness or weakness,coldness in lower leg/foot,shiny skin on leg,weak pulse in legs,slow toenail growth,sores on toes/feet that won't heal,pain relieved by rest,
