disease,medicine,dosage,precautions,severity
Chronic Fatigue Syndrome,Melatonin,0.5–5 mg at bedtime,For sleep disturbance component; evidence limited; avoid high doses; CBT and graded activity with monitoring remain key interventions,Mild
Polycythemia Vera,Hydroxyurea,15–20 mg/kg/day (start); titrate to maintain Hct <45% and platelets <400×10⁹/L,Monitor CBC every 2 weeks then monthly; reduce dose if neutrophils <2.5×10⁹/L; myelosuppression; teratogenic — contraception needed,Moderate
Schizophrenia,Risperidone,2–8 mg once daily (start 1–2 mg/day),Monitor for extrapyramidal symptoms and tardive dyskinesia; weight gain; monitor metabolic parameters; prolactin elevation,Severe
Obsessive-Compulsive Disorder,Sertraline,50–200 mg once daily (higher doses often needed than for depression),May take 8–12 weeks for full OCD benefit; combine with CBT/ERP for best results; do not stop abruptly,Moderate
Myocardial Infarction,Streptokinase (Thrombolytic),1.5 million units IV over 60 minutes (where PCI unavailable),"Use within 12 h of symptom onset; many contraindications (recent surgery, bleeding); monitor for haemorrhage and hypotension",Critical
Chronic Fatigue Syndrome,Duloxetine,30–60 mg once daily (for pain and depression component),Monitor mood; not a cure; taper on discontinuation; allow 4–6 weeks for effect; multidisciplinary approach essential,Moderate
Pneumonia,Azithromycin,500 mg once daily for 3–5 days,Risk of QT prolongation; avoid with other QT-prolonging drugs; monitor cardiac patients,Moderate
Stroke,Atorvastatin,40–80 mg once daily at night,Secondary prevention; monitor LFTs and CK; avoid with certain antifungals/antibiotics; report muscle pain,Moderate
Measles,Paracetamol,10–15 mg/kg every 4–6 hours (children); 500–1000 mg adults,For fever and discomfort; avoid aspirin in children; maintain hydration,Moderate
Polycystic Ovary Syndrome,Combined Oral Contraceptive Pill,One pill daily for 21 days then 7-day break (cyclically),For menstrual regulation and acne/hirsutism; VTE risk; contraindicated in migraine with aura; not for fertility,Mild
Hypothermia,Active External Rewarming,Warm blankets and heating pads to trunk; warm humidified oxygen; IV warm saline (40–42°C) for severe cases,Rewarm trunk before extremities (afterdrop risk); cardiac monitoring (VF risk); avoid vigorous movement; handle gently; hospital management essential for severe cases,Critical
Kawasaki Disease,Aspirin (High Dose then Low Dose),80–100 mg/kg/day in 4 divided doses (febrile phase) then 3–5 mg/kg/day once afebrile for 6–8 weeks,Exception where aspirin used in children; do not use aspirin if influenza or chickenpox (Reye syndrome); echocardiogram follow-up,Moderate
Cystic Fibrosis,Ivacaftor/Lumacaftor (Orkambi),2 tablets (400/250 mg) twice daily with fat-containing food,For specific CFTR mutations (F508del) — genetic testing required; monitor LFTs; specialist CF centre initiation; respiratory assessments,Severe
Psoriasis,Betamethasone Dipropionate Cream 0.05%,Apply thinly to affected areas once or twice daily for 2–4 weeks,Avoid on face and skin folds; risk of skin atrophy with prolonged use; do not use under occlusion; topical only,Mild
Type 2 Diabetes,Glibenclamide (Glipizide),2.5–20 mg once or twice daily before meals,Risk of hypoglycaemia; avoid in renal/hepatic failure; carry glucose for emergencies,Moderate
Appendicitis,Cefazolin IV (pre-operative),1–2 g IV 30–60 min before surgery,Surgical removal (appendectomy) is definitive treatment; antibiotics alone for selected uncomplicated cases; NPO pre-operatively,Severe
Cirrhosis,Spironolactone + Furosemide (Ascites),Spironolactone 100–400 mg + Furosemide 40–160 mg once daily (5:2 ratio maintained),Monitor electrolytes every 1–2 weeks; daily weight; restrict salt intake; aim for weight loss <0.5 kg/day; avoid NSAIDs and nephrotoxins,Severe
Common Cold,Loratadine,10 mg once daily,Non-drowsy antihistamine; safe in pregnancy class B; avoid if allergic to loratadine,Mild
Schizophrenia,Clozapine,12.5–450 mg/day in divided doses (treatment-resistant),"Mandatory weekly CBC (risk of agranulocytosis); registered clozapine monitoring programme; risk of seizures, myocarditis; titrate very slowly",Severe
Acromegaly,Pegvisomant (GH Receptor Antagonist),10–30 mg subcutaneously once daily,Monitor liver function; highest IGF-1 normalisation rates; does not shrink tumour; expensive; combination use with SSA in some cases,Severe
Breast Cancer,Tamoxifen,20 mg once daily for 5–10 years (hormone receptor-positive),Risk of DVT and endometrial cancer; pelvic exams annually; hot flushes common; contraindicated in pregnancy,Severe
Anorexia Nervosa,Olanzapine,2.5–10 mg at night (for weight restoration and anxiety),Specialist eating disorder team essential; nutritional rehabilitation first priority; monitor cardiac function (refeeding syndrome); regular psychological therapy,Severe
Gastritis,Antacid (Aluminium/Magnesium Hydroxide),10–20 mL or 1–2 tablets 1 hour after meals and at bedtime,Short-term symptomatic relief only; aluminium formulations may cause constipation; avoid in renal disease,Mild
Alcohol Use Disorder,Chlordiazepoxide (Detoxification),20–40 mg four times daily (day 1) reducing over 7–10 days,Inpatient or closely supervised detox; prevents seizures and delirium tremens; add thiamine (Pabrinex IV); do not use long-term,Severe
Hyperlipidaemia,Atorvastatin,10–80 mg once daily at night,Most widely prescribed statin; avoid grapefruit juice; monitor CK if muscle pain; liver function monitoring; avoid in pregnancy; multiple drug interactions,Mild
Amyotrophic Lateral Sclerosis,Edaravone,60 mg IV infusion over 60 min daily (14-day cycles),Slows functional decline; specialist centre only; monitor renal function; sodium bisulfite allergy risk; early-stage ALS benefits,Severe
Oral Candidiasis (Thrush),Nystatin Oral Suspension,"100,000 units/mL; 1 mL four times daily; hold in mouth before swallowing","Local antifungal; treat for 48 h after symptoms resolve; check for predisposing factors (diabetes, antibiotics, inhaled steroids, immunosuppression)",Mild
Malaria,Quinine Sulfate,648 mg three times daily for 7 days,Monitor blood glucose; can cause cinchonism; use with doxycycline for falciparum malaria,Severe
Dengue Fever,IV Fluid Therapy (Normal Saline),10–20 mL/kg/hr in severe dengue shock,Hospitalisation required; monitor haematocrit and urine output; avoid overhydration,Severe
Cholecystitis,Ketorolac,30 mg IV every 6 hours (max 5 days),Excellent analgesic for biliary colic; avoid in renal failure; short-term only; add PPI for GI protection,Moderate
Bronchitis,Dextromethorphan (Cough Suppressant),10–20 mg every 4 hours; max 120 mg/day,Do not use in productive cough; avoid with MAOIs; not for children under 4 years,Mild
Rheumatoid Arthritis,Prednisolone,5–15 mg once daily (low-dose for bridging),"Taper slowly; monitor bone density, blood glucose, blood pressure; supplement calcium and vitamin D",Moderate
Generalized Anxiety Disorder,Buspirone,7.5–30 mg twice daily,Non-benzodiazepine; no dependence risk; onset 2–4 weeks; avoid with MAOIs; useful for long-term GAD management,Mild
Sleep Apnea,CPAP Therapy (Continuous Positive Airway Pressure),Use nightly at prescribed pressure (typically 4–20 cmH2O),Gold-standard treatment; compliance essential (>4 h/night); mask fitting key; regular follow-up; avoid alcohol and sedatives before bed,Moderate
Heart Failure,Sacubitril/Valsartan (Entresto),49/51 mg (or 97/103 mg) twice daily,"Do not use within 36 h of ACE inhibitor; monitor BP, potassium, renal function; avoid in pregnancy; superior to ACE inhibitor alone",Severe
Varicose Veins,Sclerotherapy,Specialist-injected sclerosant into varicose vein under ultrasound guidance,"Specialist vascular procedure; compression stockings after; avoid exercise for 24 h; risk of DVT, skin staining; VenaSeal or thermal ablation for larger veins",Mild
Portal Hypertension,Terlipressin (Variceal Bleed),2 mg IV every 4 hours until bleeding controlled then 1 mg every 4 hours for up to 5 days,Vasopressin analogue; reduces portal pressure; ICU setting; risk of ischaemia — use cautiously in coronary artery disease; concurrent antibiotic prophylaxis required,Critical
Sciatica,Naproxen,500 mg twice daily with food for up to 2 weeks,"NSAID for acute pain; take with food; avoid in renal impairment, peptic ulcer; add PPI in high-risk patients; short-term only",Mild
Peripheral Artery Disease,Cilostazol,100 mg twice daily (30 min before or 2 h after meals),Reduces claudication symptoms; contraindicated in heart failure; improves walking distance; check CYP2C19 drug interactions; not curative,Moderate
Migraine,Ibuprofen,400–600 mg at onset; may repeat after 6–8 h,Take with food; avoid in peptic ulcer; use early in migraine; short-term only,Mild
Dehydration,IV Normal Saline (0.9%),500 mL–1 L IV bolus over 15–30 min (severe dehydration/shock),Hospital setting; monitor electrolytes; switch to maintenance fluids after stabilisation; measure urine output hourly,Severe
Cervical Cancer,Cisplatin (Chemotherapy),40 mg/m² IV weekly concurrent with radiotherapy,High emetogenic potential — use prophylactic antiemetics; nephrotoxic — hydrate aggressively; audiometry monitoring; specialist oncology team,Critical
Diverticulitis,Ciprofloxacin + Metronidazole (IV),Ciprofloxacin 400 mg IV every 12 h + Metronidazole 500 mg IV every 8 h,For complicated/severe diverticulitis; IV followed by oral; bowel rest; surgical consultation for perforation or abscess; CT confirmation recommended,Severe
Myocardial Infarction,Morphine Sulfate,2–4 mg IV; may repeat every 5–15 min (pain control),Monitor for respiratory depression; antiemetic co-administration; may mask symptoms of deterioration; use cautiously in hypotension,Critical
Sickle Cell Disease,Morphine Sulfate (Pain Crisis),0.1–0.2 mg/kg IV/subcutaneous every 2–4 hours; patient-controlled analgesia,Titrate to pain relief; respiratory monitoring; multimodal analgesia; avoid meperidine (normeperidine seizure risk); adequate hydration,Severe
Chickenpox,Calamine Lotion,Apply topically to itchy areas 3–4 times daily,External use only; helps relieve itching; trim fingernails to prevent scratching and secondary infection,Mild
Influenza,Oseltamivir (Tamiflu),75 mg twice daily for 5 days; start within 48 h of symptom onset,May cause nausea; take with food; not a substitute for annual flu vaccine,Moderate
Hearing Loss,Hearing Aid (Amplification),Custom-fitted hearing aid prescribed by audiologist,Not suitable for all causes; regular audiological follow-up; batteries need regular replacement; gradual acclimatization,Moderate
Measles,Vitamin A Supplementation,"200,000 IU orally on 2 consecutive days (children over 1 year)",Reduces mortality; give to all children with measles; repeat dose after 4 weeks if deficiency signs present,Moderate
Insomnia,Zolpidem,5–10 mg immediately before bedtime; max 4 weeks,"Short-term use only; risk of dependence, sleepwalking, next-day impairment; avoid alcohol; elderly use 5 mg only; do not drive next morning",Mild
Kidney Stones,Ketorolac (IV/IM),30 mg IV or 60 mg IM as single dose; max 5 days,Potent NSAID analgesic; avoid in renal failure; short-term use only; risk of GI bleeding,Moderate
Pneumonia,Amoxicillin,500 mg three times daily for 5–7 days (community-acquired),Complete full course; check for penicillin allergy; monitor renal function,Moderate
Preeclampsia,Labetalol,200 mg orally twice daily (start); IV 20–80 mg boluses for hypertensive emergencies,Safe antihypertensive in pregnancy; avoid in asthma; monitor fetal heart rate; hospitalisation for severe preeclampsia,Severe
Deep Vein Thrombosis,Low Molecular Weight Heparin (Enoxaparin),1.5 mg/kg subcutaneously once daily or 1 mg/kg twice daily,Subcutaneous injection; monitor anti-Xa levels in renal impairment; HIT risk (lower than UFH); can be used in pregnancy,Moderate
Raynaud's Disease,Nifedipine (Modified Release),10–30 mg once daily; titrate to 60 mg once daily,"First-line calcium channel blocker; avoid immediate-release for Raynaud's; oedema and headache; avoid with strong CYP3A4 inhibitors (e.g. clarithromycin); lifestyle: keep warm, stop smoking",Mild
Muscular Dystrophy (Duchenne),Deflazacort (Corticosteroid),0.9 mg/kg/day orally,Slows disease progression; weight gain; osteoporosis risk (calcium/vitamin D supplements); cataract monitoring; cushingoid features; do not stop abruptly,Severe
Gastritis,Omeprazole (PPI),20–40 mg once daily before breakfast for 4–8 weeks,Long-term use may reduce magnesium/B12; monitor bone density with prolonged use; avoid with clopidogrel,Moderate
Anaphylaxis,Adrenaline (Epinephrine) 1:1000,0.5 mg (0.5 mL) IM in outer mid-thigh immediately; repeat after 5 min if no improvement,FIRST-LINE EMERGENCY TREATMENT; call 999/ambulance immediately; lay flat with legs elevated (unless breathing difficulty); adrenaline auto-injector for known anaphylaxis,Critical
Myocardial Infarction,Aspirin + Clopidogrel (Dual Antiplatelet),Aspirin 300 mg loading then 75 mg daily; Clopidogrel 600 mg loading then 75 mg daily,Emergency chew aspirin immediately; dual therapy for minimum 12 months post-STEMI; PPI cover for GI protection; bleeding risk,Critical
Tetanus,Tetanus Immunoglobulin (TIG),500 IU IM (prophylaxis) or 3000–6000 IU IM (treatment),Medical emergency — ICU required; wound debridement; metronidazole 500 mg IV every 6 h for infection; diazepam for spasms; mechanical ventilation may be needed,Critical
